book_id,title,author,isbn,publisher,publication_year,pages,language,description,price,delivery_date,genre,format,rating_avg,stock
11,1984,George Orwell,978-0-452-28423-4,Signet Classics,1949,328,English,A dystopian social science fiction novel about totalitarian control and surveillance.,13.95,3,Science Fiction,Paperback,0.0,40
12,Dune,Frank Herbert,978-0-441-17271-9,Ace Books,1965,688,English,An epic science fiction novel set on the desert planet Arrakis.,16.0,5,Science Fiction,Paperback,0.0,35
13,Foundation,Isaac Asimov,978-0-553-29335-0,Bantam Spectra,1951,244,English,The first novel in Asimov's Foundation series about psychohistory and the fall of the Galactic Empire.,14.99,3,Science Fiction,Paperback,0.0,30
14,Brave New World,Aldous Huxley,978-0-06-085052-4,Harper Perennial Modern Classics,1932,268,English,A dystopian novel about a technologically advanced society that has eliminated suffering.,15.99,3,Science Fiction,Paperback,0.0,32
15,Fahrenheit 451,Ray Bradbury,978-1-4516-7331-9,Simon & Schuster,1953,249,English,A dystopian novel about a future society where books are banned and burned.,13.99,3,Science Fiction,Paperback,0.0,28
16,The Martian,Andy Weir,978-0-553-41802-6,Crown,2011,369,English,A survival story about an astronaut stranded on Mars who must use science to survive.,16.99,2,Science Fiction,Paperback,0.0,45
17,Neuromancer,William Gibson,978-0-441-56956-9,Ace Books,1984,271,English,A cyberpunk novel that coined the term 'cyberspace' and defined the genre.,15.99,3,Science Fiction,Paperback,0.0,25
18,Ender's Game,Orson Scott Card,978-0-8125-5070-2,Tor Books,1985,324,English,A military science fiction novel about a young boy trained to fight an alien invasion.,14.99,3,Science Fiction,Paperback,0.0,38
19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,978-0-345-39180-3,Del Rey,1979,224,English,A comedic science fiction series that begins with the destruction of Earth.,13.99,2,Science Fiction,Paperback,0.0,42
20,Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,978-0-345-40447-6,Del Rey,1968,244,English,A story about synthetic humans and what it means to be human in a post-apocalyptic world.,14.99,3,Science Fiction,Paperback,0.0,30
21,Harry Potter and the Philosopher's Stone,J.K. Rowling,978-0-7475-3269-9,Bloomsbury,1997,223,English,The first book in the beloved series about a young wizard's adventures at Hogwarts.,12.99,2,Fantasy,Paperback,0.0,50
22,The Hobbit,J.R.R. Tolkien,978-0-547-92822-8,Houghton Mifflin Harcourt,1937,310,English,The adventure of Bilbo Baggins as he joins a quest to reclaim the dwarf kingdom.,14.99,3,Fantasy,Paperback,0.0,40
23,A Game of Thrones,George R.R. Martin,978-0-553-10354-0,Bantam Spectra,1996,694,English,"The first book in A Song of Ice and Fire series, full of political intrigue and fantasy elements.",18.99,4,Fantasy,Paperback,0.0,35
24,The Name of the Wind,Patrick Rothfuss,978-0-7564-0474-1,DAW Books,2007,662,English,"The first book in The Kingkiller Chronicle about Kvothe, a legendary figure.",17.99,4,Fantasy,Paperback,0.0,28
25,The Way of Kings,Brandon Sanderson,978-0-7653-2635-5,Tor Books,2010,1007,English,"The first book in The Stormlight Archive, an epic fantasy with unique magic systems.",27.99,5,Fantasy,Hardcover,0.0,20
26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,978-0-06-023481-4,HarperCollins,1950,206,English,Four children discover a magical world through a wardrobe in this classic fantasy.,11.99,3,Fantasy,Paperback,0.0,32
27,Pride and Prejudice,Jane Austen,978-0-14-143951-8,Penguin Classics,1813,432,English,"A romantic novel about manners, marriage, and society in Georgian England.",11.99,4,Romance,Paperback,0.0,20
28,Sense and Sensibility,Jane Austen,978-0-14-143966-2,Penguin Classics,1811,409,English,A tale of two sisters with contrasting temperaments navigating love and society.,12.99,3,Romance,Paperback,0.0,18
29,Outlander,Diana Gabaldon,978-0-440-21256-8,Dell,1991,896,English,A time-traveling romance set between 20th century and 18th century Scotland.,19.99,4,Romance,Paperback,0.0,25
30,The Notebook,Nicholas Sparks,978-0-446-60523-3,Grand Central Publishing,1996,214,English,A touching love story about a couple's enduring romance through the decades.,13.99,2,Romance,Paperback,0.0,30
31,Me Before You,Jojo Moyes,978-0-14-312454-1,Penguin Books,2012,369,English,A heart-wrenching story about a caregiver and her quadriplegic employer.,15.99,3,Romance,Paperback,0.0,35
32,The Girl with the Dragon Tattoo,Stieg Larsson,978-0-307-45454-1,Vintage Crime/Black Lizard,2005,672,English,A journalist and a hacker investigate a wealthy family's dark secrets.,16.99,3,Mystery,Paperback,0.0,28
33,Gone Girl,Gillian Flynn,978-0-307-58836-4,Crown Publishers,2012,419,English,A psychological thriller about a marriage gone terribly wrong.,15.99,2,Thriller,Paperback,0.0,32
34,The Da Vinci Code,Dan Brown,978-0-307-47928-5,Anchor,2003,689,English,A symbologist uncovers a conspiracy involving the Catholic Church and the Holy Grail.,17.99,3,Thriller,Paperback,0.0,40
35,And Then There Were None,Agatha Christie,978-0-06-207348-4,William Morrow Paperbacks,1939,264,English,Ten strangers are invited to an island where they begin dying one by one.,14.99,3,Mystery,Paperback,0.0,35
36,The Silent Patient,Alex Michaelides,978-1-250-30170-7,Celadon Books,2019,336,English,A psychotherapist becomes obsessed with treating a woman who refuses to speak.,18.99,2,Thriller,Hardcover,0.0,25
37,The Murder of Roger Ackroyd,Agatha Christie,978-0-06-207349-1,William Morrow Paperbacks,1926,312,English,Hercule Poirot investigates the murder of Roger Ackroyd in this classic mystery.,13.99,3,Mystery,Paperback,0.0,30
38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0-06-231609-7,Harper,2014,443,English,A thought-provoking exploration of human history and our impact on the world.,16.99,3,Non-Fiction,Paperback,0.0,40
39,Educated,Tara Westover,978-0-399-59050-4,Random House,2018,334,English,"A memoir about education, family, and the struggle between loyalty and independence.",19.99,2,Biography,Hardcover,0.0,35
40,The Immortal Life of Henrietta Lacks,Rebecca Skloot,978-1-4000-5217-2,Crown Publishers,2010,381,English,The story of how one woman's cells revolutionized medical science.,15.99,3,Non-Fiction,Paperback,0.0,28
41,Becoming,Michelle Obama,978-1-5247-6313-8,Crown,2018,448,English,The memoir of former First Lady Michelle Obama.,21.99,2,Biography,Hardcover,0.0,45
42,Atomic Habits,James Clear,978-0-7352-1129-2,Avery,2018,320,English,A guide to building good habits and breaking bad ones through small changes.,17.99,2,Self-Help,Paperback,0.0,50
43,The Book Thief,Markus Zusak,978-0-375-84220-7,Knopf Books for Young Readers,2005,552,English,A story about a young girl living in Nazi Germany who steals books.,16.99,3,Historical Fiction,Paperback,0.0,30
44,All Quiet on the Western Front,Erich Maria Remarque,978-0-449-21394-3,Fawcett,1929,295,English,A powerful anti-war novel about German soldiers in World War I.,14.99,3,Historical Fiction,Paperback,0.0,25
45,The Pillars of the Earth,Ken Follett,978-0-451-16689-4,New American Library,1989,973,English,An epic tale of the building of a cathedral in 12th-century England.,19.99,5,Historical Fiction,Paperback,0.0,22
46,Cold Mountain,Charles Frazier,978-0-8021-3540-9,Grove Press,1997,449,English,A Confederate soldier's journey home to his beloved during the Civil War.,16.99,4,Historical Fiction,Paperback,0.0,20
47,The Shining,Stephen King,978-0-307-74365-7,Anchor,1977,659,English,A family becomes caretakers of an isolated hotel that has a violent past.,16.99,3,Horror,Paperback,0.0,35
48,Dracula,Bram Stoker,978-0-14-143984-6,Penguin Classics,1897,418,English,The classic vampire novel that defined the genre.,13.99,3,Horror,Paperback,0.0,30
49,Frankenstein,Mary Shelley,978-0-14-143947-1,Penguin Classics,1818,280,English,"The story of Victor Frankenstein and his creation, exploring themes of science and humanity.",12.99,3,Horror,Paperback,0.0,28
50,It,Stephen King,978-1-5011-4243-0,Scribner,1986,1138,English,A group of children face an ancient evil that feeds on fear in the town of Derry.,20.99,5,Horror,Paperback,0.0,25
51,The Hunger Games,Suzanne Collins,978-0-439-02348-1,Scholastic Press,2008,374,English,A dystopian story about a televised fight to the death among teenagers.,14.99,2,Young Adult,Paperback,0.0,40
52,The Fault in Our Stars,John Green,978-0-14-242417-9,Penguin Books,2012,313,English,A love story between two teenagers who meet in a cancer support group.,13.99,2,Young Adult,Paperback,0.0,35
53,Divergent,Veronica Roth,978-0-06-202402-2,Katherine Tegen Books,2011,487,English,"In a dystopian Chicago, society is divided into five factions based on virtues.",15.99,3,Young Adult,Paperback,0.0,30
54,The Perks of Being a Wallflower,Stephen Chbosky,978-1-4516-9621-9,MTV Books,1999,213,English,A coming-of-age story told through letters from an introverted teenager.,12.99,2,Young Adult,Paperback,0.0,32
55,Meditations,Marcus Aurelius,978-0-14-044933-4,Penguin Classics,180,304,English,Personal reflections of the Roman Emperor on Stoic philosophy.,13.99,3,Philosophy,Paperback,0.0,25
56,The Republic,Plato,978-0-14-044914-3,Penguin Classics,-380,405,English,"Plato's influential dialogue on justice, the ideal state, and the nature of reality.",15.99,4,Philosophy,Paperback,0.0,20
57,Man's Search for Meaning,Viktor E. Frankl,978-0-8070-1427-1,Beacon Press,1946,165,English,A Holocaust survivor's reflection on finding meaning in the most difficult circumstances.,14.99,3,Philosophy,Paperback,0.0,35
58,Think and Grow Rich,Napoleon Hill,978-1-58542-433-7,Sound Wisdom,1937,320,English,A classic self-help book on achieving personal and financial success.,16.99,3,Business,Paperback,0.0,30
59,The Lean Startup,Eric Ries,978-0-307-88789-4,Crown Business,2011,336,English,A guide to building successful startups through validated learning and innovation.,18.99,3,Business,Paperback,0.0,25
60,Good to Great,Jim Collins,978-0-06-662099-2,HarperBusiness,2001,320,English,Research-based insights on what makes companies transition from good to great.,17.99,3,Business,Paperback,0.0,28
61,A Brief History of Time,Stephen Hawking,978-0-553-38016-3,Bantam,1988,256,English,An accessible explanation of cosmology and theoretical physics.,15.99,3,Science,Paperback,0.0,30
62,The Selfish Gene,Richard Dawkins,978-0-19-929114-4,Oxford University Press,1976,360,English,A revolutionary look at evolution from the gene's perspective.,16.99,3,Science,Paperback,0.0,25
63,The Code Breaker,Walter Isaacson,978-1-9821-1585-2,Simon & Schuster,2021,560,English,The biography of Jennifer Doudna and the story of CRISPR gene editing.,24.99,4,Science,Hardcover,0.0,20
64,Leaves of Grass,Walt Whitman,978-0-14-042199-5,Penguin Classics,1855,720,English,Walt Whitman's groundbreaking collection of American poetry.,16.99,4,Poetry,Paperback,0.0,15
65,The Complete Poems of Emily Dickinson,Emily Dickinson,978-0-316-18414-9,Back Bay Books,1890,784,English,The complete collection of Emily Dickinson's innovative poetry.,18.99,4,Poetry,Paperback,0.0,12
66,The Sun and Her Flowers,Rupi Kaur,978-1-4494-7908-0,Andrews McMeel Publishing,2017,256,English,"A collection of poetry about growth, healing, ancestry, and honoring one's roots.",14.99,2,Poetry,Paperback,0.0,25
67,The Divine Comedy,Dante Alighieri,978-0-14-044475-9,Penguin Classics,1320,798,English,"Dante's epic journey through Hell, Purgatory, and Paradise.",19.99,5,Classics,Paperback,0.0,15
68,Don Quixote,Miguel de Cervantes,978-0-06-093434-9,HarperCollins,1605,940,English,The adventures of an idealistic knight and his practical squire.,21.99,5,Classics,Paperback,0.0,18
69,Les Misérables,Victor Hugo,978-0-14-044430-8,Penguin Classics,1862,1463,English,"An epic tale of justice, love, and redemption in 19th-century France.",24.99,6,Classics,Paperback,0.0,12
70,War and Peace,Leo Tolstoy,978-0-14-044793-4,Penguin Classics,1869,1392,English,Tolstoy's epic novel of Russian society during the Napoleonic era.,23.99,6,Classics,Paperback,0.0,14
71,Anna Karenina,Leo Tolstoy,978-0-14-303500-8,Penguin Classics,1877,964,English,"A complex tale of love, society, and morality in imperial Russia.",20.99,5,Classics,Paperback,0.0,16
72,Treasure Island,Robert Louis Stevenson,978-0-14-062034-4,Penguin Classics,1883,240,English,A young boy's adventure with pirates in search of buried treasure.,11.99,3,Adventure,Paperback,0.0,25
73,Robinson Crusoe,Daniel Defoe,978-0-14-043474-2,Penguin Classics,1719,320,English,The survival story of a man stranded on a desert island.,12.99,3,Adventure,Paperback,0.0,20
74,The Adventures of Tom Sawyer,Mark Twain,978-0-14-303999-0,Penguin Classics,1876,274,English,The mischievous adventures of a boy growing up along the Mississippi River.,11.99,3,Adventure,Paperback,0.0,28
75,Into the Wild,Jon Krakauer,978-0-385-48680-4,Anchor,1996,207,English,The true story of Christopher McCandless's journey into the Alaskan wilderness.,14.99,3,Adventure,Paperback,0.0,30
76,The Kite Runner,Khaled Hosseini,978-1-59448-000-3,Riverhead Books,2003,371,English,"A powerful story of friendship, guilt, and redemption set in Afghanistan.",15.99,3,Contemporary Fiction,Paperback,0.0,32
77,Life of Pi,Yann Martel,978-0-15-602732-3,Harcourt,2001,319,English,A boy survives 227 days stranded on a lifeboat with a Bengal tiger.,14.99,3,Contemporary Fiction,Paperback,0.0,28
78,The Alchemist,Paulo Coelho,978-0-06-231500-7,HarperOne,1988,163,English,A philosophical novel about a shepherd's journey to find his personal legend.,13.99,2,Contemporary Fiction,Paperback,0.0,40
79,The Time Traveler's Wife,Audrey Niffenegger,978-0-15-602943-3,Harcourt,2003,518,English,A love story complicated by the husband's genetic disorder that causes time travel.,16.99,4,Contemporary Fiction,Paperback,0.0,25
80,Where the Crawdads Sing,Delia Owens,978-0-7352-1909-0,G.P. Putnam's Sons,2018,370,English,A mystery and coming-of-age story set in the marshlands of North Carolina.,16.99,2,Contemporary Fiction,Paperback,0.0,35
81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,978-1-5011-3981-2,Atria Books,2017,400,English,A reclusive Hollywood icon reveals her secrets to an unknown journalist.,16.99,3,Contemporary Fiction,Paperback,0.0,30
82,Circe,Madeline Miller,978-0-316-55633-4,"Little, Brown and Company",2018,393,English,A stunning reimagining of the Greek goddess Circe and her transformation from nymph to witch.,19.99,4,Fantasy,Hardcover,0.0,25
83,Klara and the Sun,Kazuo Ishiguro,978-0-571-36488-6,Faber & Faber,2021,303,English,A moving tale told from the perspective of an artificial friend observing human nature.,24.99,3,Science Fiction,Hardcover,0.0,22
84,The Handmaid's Tale,Margaret Atwood,978-0-385-49081-8,Anchor Books,1985,311,English,A dystopian novel about a totalitarian society where women are subjugated.,15.99,3,Science Fiction,Paperback,0.0,28
85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,978-1-64129-421-6,The New Press,2022,416,English,A darkly comic fantasy about a photographer navigating the afterlife in war-torn Sri Lanka.,17.99,3,Contemporary Fiction,Paperback,0.0,24
86,"Where Are You Going, Bernadette",Maria Semple,978-0-316-20427-0,"Little, Brown and Company",2012,352,English,A satirical novel about a brilliant architect who goes missing.,15.99,3,Contemporary Fiction,Paperback,0.0,25
87,The Midnight Library,Matt Haig,978-0-525-55947-4,Viking,2020,288,English,A thought-provoking tale about life's infinite possibilities.,18.99,2,Contemporary Fiction,Hardcover,0.0,30
88,The Power,Naomi Alderman,978-0-316-54730-1,"Little, Brown and Company",2016,341,English,A speculative fiction novel about women developing electrical powers.,17.99,3,Science Fiction,Paperback,0.0,24
89,Project Hail Mary,Andy Weir,978-0-593-13520-0,Ballantine Books,2021,496,English,A science fiction novel about humanity's last hope for survival.,23.99,4,Science Fiction,Hardcover,0.0,26
90,The Thursday Murder Club,Richard Osman,978-1-984-88021-5,Pamela Dorman Books,2020,368,English,Four retirees meet weekly to investigate cold cases.,16.99,2,Mystery,Paperback,0.0,35
91,Normal People,Sally Rooney,978-1-984-82218-4,Hogarth,2018,273,English,A complex love story between two Irish teenagers.,16.99,3,Contemporary Fiction,Paperback,0.0,28
92,The Guest List,Lucy Foley,978-0-06-286841-5,William Morrow,2020,320,English,A wedding on a remote island turns deadly.,15.99,2,Thriller,Paperback,0.0,30
93,The Invisible Life of Addie LaRue,V.E. Schwab,978-0-7653-9104-2,Tor Books,2020,448,English,A young woman makes a Faustian bargain to live forever but is cursed to be forgotten.,21.99,3,Fantasy,Hardcover,0.0,28
94,The Invisible Bridge,Julie Orringer,978-0-375-41435-8,Knopf,2010,602,English,A sweeping historical novel set during World War II.,18.99,4,Historical Fiction,Paperback,0.0,20
95,The Song of Achilles,Madeline Miller,978-0-06-213425-1,Ecco,2011,416,English,A retelling of the Trojan War through the relationship between Achilles and Patroclus.,16.99,3,Historical Fiction,Paperback,0.0,32
96,Big Little Lies,Liane Moriarty,978-0-399-16743-6,G.P. Putnam's Sons,2014,460,English,A darkly comic novel about three mothers whose lives unravel.,16.99,3,Contemporary Fiction,Paperback,0.0,28
97,The Poppy War,R.F. Kuang,978-0-06-266268-4,Harper Voyager,2018,544,English,A grimdark military fantasy inspired by 20th-century China.,18.99,4,Fantasy,Paperback,0.0,22
98,The Vanishing Half,Brit Bennett,978-0-525-53629-2,Riverhead Books,2020,343,English,"A multi-generational saga about identity, family, and race.",19.99,3,Contemporary Fiction,Hardcover,0.0,30
99,Such a Fun Age,Kiley Reid,978-0-525-54118-0,G.P. Putnam's Sons,2019,310,English,A sharp social commentary about race and privilege.,16.99,3,Contemporary Fiction,Paperback,0.0,26
100,Anxious People,Fredrik Backman,978-1-5011-6078-6,Atria Books,2020,352,English,A heartwarming story about a failed bank robbery and the hostages.,16.99,2,Contemporary Fiction,Paperback,0.0,32
