order_item_id,order_id,book_id,book_title,book_author,quantity,price_at_time,total_price
38,9,58,Think and Grow Rich,Napoleon Hill,2,16.42,32.84
39,9,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1,18.97,18.97
40,9,72,Treasure Island,Robert Louis Stevenson,1,11.14,11.14
41,10,89,Project Hail Mary,Andy Weir,3,24.29,72.87
42,10,70,War and Peace,Leo Tolstoy,3,21.82,65.46
43,11,20,Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,1,15.07,15.07
44,11,40,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2,16.13,32.26
45,11,69,Les Misérables,Victor Hugo,2,24.68,49.36
46,12,56,The Republic,Plato,3,16.69,50.07
47,12,77,Life of Pi,Yann Martel,3,16.87,50.61
48,12,78,The Alchemist,Paulo Coelho,1,12.27,12.27
49,12,8,The Brothers Karamazov,Fyodor Dostoevsky,2,29.25,58.5
50,12,2,To Kill a Mockingbird,Harper Lee,1,16.02,16.02
51,13,10,The Odyssey,Homer,2,17.28,34.56
52,13,55,Meditations,Marcus Aurelius,3,13.16,39.48
53,13,95,The Song of Achilles,Madeline Miller,2,14.39,28.78
54,13,97,The Poppy War,R.F. Kuang,1,15.19,15.19
55,14,80,Where the Crawdads Sing,Delia Owens,3,17.53,52.59
56,14,74,The Adventures of Tom Sawyer,Mark Twain,1,12.7,12.7
57,14,17,Neuromancer,William Gibson,3,15.07,45.21
58,14,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1,16.39,16.39
59,14,13,Foundation,Isaac Asimov,1,14.09,14.09
60,14,98,The Vanishing Half,Brit Bennett,3,17.99,53.97
61,15,37,The Murder of Roger Ackroyd,Agatha Christie,3,16.44,49.32
62,15,45,The Pillars of the Earth,Ken Follett,1,19.36,19.36
63,15,96,Big Little Lies,Liane Moriarty,3,15.02,45.06
64,15,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,2,11.84,23.68
65,16,76,The Kite Runner,Khaled Hosseini,1,13.98,13.98
66,16,78,The Alchemist,Paulo Coelho,1,12.48,12.48
67,16,45,The Pillars of the Earth,Ken Follett,1,16.32,16.32
68,16,53,Divergent,Veronica Roth,3,13.72,41.16
69,16,77,Life of Pi,Yann Martel,3,14.63,43.89
70,16,33,Gone Girl,Gillian Flynn,2,18.3,36.6
71,16,2,To Kill a Mockingbird,Harper Lee,3,17.31,51.93
72,17,87,The Midnight Library,Matt Haig,1,21.71,21.71
73,17,27,Pride and Prejudice,Jane Austen,3,11.95,35.85
74,17,75,Into the Wild,Jon Krakauer,2,12.64,25.28
75,17,60,Good to Great,Jim Collins,1,15.91,15.91
76,17,40,The Immortal Life of Henrietta Lacks,Rebecca Skloot,2,19.12,38.24
77,17,32,The Girl with the Dragon Tattoo,Stieg Larsson,3,14.19,42.57
78,18,57,Man's Search for Meaning,Viktor E. Frankl,1,14.74,14.74
79,18,28,Sense and Sensibility,Jane Austen,1,14.6,14.6
80,18,31,Me Before You,Jojo Moyes,3,18.96,56.88
81,19,1,The Great Gatsby,F. Scott Fitzgerald,3,13.87,41.61
82,19,67,The Divine Comedy,Dante Alighieri,1,17.15,17.15
83,19,68,Don Quixote,Miguel de Cervantes,1,24.92,24.92
84,19,85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,2,17.05,34.1
85,19,8,The Brothers Karamazov,Fyodor Dostoevsky,2,21.9,43.8
86,19,9,Wuthering Heights,Emily Brontë,2,14.71,29.42
87,19,5,Moby Dick,Herman Melville,2,13.86,27.72
88,19,4,One Hundred Years of Solitude,Gabriel García Márquez,3,14.86,44.58
89,20,83,Klara and the Sun,Kazuo Ishiguro,3,24.31,72.93
90,20,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,3,12.07,36.21
91,20,71,Anna Karenina,Leo Tolstoy,3,18.88,56.64
92,20,2,To Kill a Mockingbird,Harper Lee,2,18.42,36.84
93,20,78,The Alchemist,Paulo Coelho,1,15.96,15.96
94,20,97,The Poppy War,R.F. Kuang,2,18.98,37.96
95,20,93,The Invisible Life of Addie LaRue,V.E. Schwab,1,26.33,26.33
96,21,87,The Midnight Library,Matt Haig,2,21.48,42.96
97,21,9,Wuthering Heights,Emily Brontë,1,14.34,14.34
98,21,46,Cold Mountain,Charles Frazier,1,19.0,19.0
99,21,41,Becoming,Michelle Obama,3,22.7,68.1
100,21,89,Project Hail Mary,Andy Weir,2,24.84,49.68
101,22,28,Sense and Sensibility,Jane Austen,2,12.23,24.46
102,22,65,The Complete Poems of Emily Dickinson,Emily Dickinson,2,15.51,31.02
103,22,49,Frankenstein,Mary Shelley,2,10.72,21.44
104,22,55,Meditations,Marcus Aurelius,2,12.48,24.96
105,22,63,The Code Breaker,Walter Isaacson,3,27.51,82.53
106,23,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,3,18.3,54.9
107,23,28,Sense and Sensibility,Jane Austen,3,13.03,39.09
108,23,99,Such a Fun Age,Kiley Reid,3,19.44,58.32
109,23,14,Brave New World,Aldous Huxley,3,14.8,44.4
110,24,16,The Martian,Andy Weir,2,17.47,34.94
111,24,67,The Divine Comedy,Dante Alighieri,3,22.08,66.24
112,25,75,Into the Wild,Jon Krakauer,2,14.6,29.2
113,25,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2,17.58,35.16
114,25,1,The Great Gatsby,F. Scott Fitzgerald,1,10.45,10.45
115,26,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,3,15.95,47.85
116,26,75,Into the Wild,Jon Krakauer,2,14.54,29.08
117,26,62,The Selfish Gene,Richard Dawkins,2,16.69,33.38
118,26,87,The Midnight Library,Matt Haig,1,16.69,16.69
119,26,36,The Silent Patient,Alex Michaelides,3,21.16,63.48
120,27,27,Pride and Prejudice,Jane Austen,2,10.61,21.22
121,27,87,The Midnight Library,Matt Haig,2,17.65,35.3
122,27,95,The Song of Achilles,Madeline Miller,3,15.17,45.51
123,28,93,The Invisible Life of Addie LaRue,V.E. Schwab,1,24.67,24.67
124,28,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1,17.49,17.49
125,28,18,Ender's Game,Orson Scott Card,1,14.18,14.18
126,28,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,3,11.29,33.87
127,28,84,The Handmaid's Tale,Margaret Atwood,3,13.9,41.7
128,28,52,The Fault in Our Stars,John Green,1,12.27,12.27
129,29,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1,13.15,13.15
130,29,91,Normal People,Sally Rooney,3,20.38,61.14
131,29,77,Life of Pi,Yann Martel,2,14.51,29.02
132,29,20,Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,2,15.98,31.96
133,30,75,Into the Wild,Jon Krakauer,1,12.9,12.9
134,31,8,The Brothers Karamazov,Fyodor Dostoevsky,2,27.25,54.5
135,31,21,Harry Potter and the Philosopher's Stone,J.K. Rowling,2,10.84,21.68
136,31,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,3,13.96,41.88
137,31,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,3,19.82,59.46
138,31,2,To Kill a Mockingbird,Harper Lee,1,15.13,15.13
139,31,69,Les Misérables,Victor Hugo,3,21.17,63.51
140,31,82,Circe,Madeline Miller,3,17.42,52.26
141,31,91,Normal People,Sally Rooney,2,17.93,35.86
142,32,6,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,2,15.91,31.82
143,32,91,Normal People,Sally Rooney,2,13.89,27.78
144,32,76,The Kite Runner,Khaled Hosseini,2,19.03,38.06
145,32,73,Robinson Crusoe,Daniel Defoe,3,11.81,35.43
146,32,90,The Thursday Murder Club,Richard Osman,1,19.69,19.69
147,32,2,To Kill a Mockingbird,Harper Lee,2,16.74,33.48
148,32,29,Outlander,Diana Gabaldon,3,21.81,65.43
149,33,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1,16.04,16.04
150,34,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,3,11.65,34.95
151,34,50,It,Stephen King,2,19.65,39.3
152,34,22,The Hobbit,J.R.R. Tolkien,3,16.05,48.15
153,34,12,Dune,Frank Herbert,2,14.84,29.68
154,34,83,Klara and the Sun,Kazuo Ishiguro,3,20.25,60.75
155,35,18,Ender's Game,Orson Scott Card,3,14.67,44.01
156,35,83,Klara and the Sun,Kazuo Ishiguro,3,26.61,79.83
157,35,39,Educated,Tara Westover,1,17.22,17.22
158,35,63,The Code Breaker,Walter Isaacson,1,28.66,28.66
159,35,58,Think and Grow Rich,Napoleon Hill,3,13.93,41.79
160,35,79,The Time Traveler's Wife,Audrey Niffenegger,2,15.98,31.96
161,35,59,The Lean Startup,Eric Ries,2,17.6,35.2
162,35,31,Me Before You,Jojo Moyes,3,12.96,38.88
163,36,96,Big Little Lies,Liane Moriarty,3,18.62,55.86
164,37,42,Atomic Habits,James Clear,3,14.54,43.62
165,37,84,The Handmaid's Tale,Margaret Atwood,1,17.3,17.3
166,37,72,Treasure Island,Robert Louis Stevenson,2,10.52,21.04
167,37,70,War and Peace,Leo Tolstoy,3,22.7,68.1
168,38,8,The Brothers Karamazov,Fyodor Dostoevsky,2,22.35,44.7
169,39,90,The Thursday Murder Club,Richard Osman,3,15.29,45.87
170,39,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,3,14.55,43.65
171,39,32,The Girl with the Dragon Tattoo,Stieg Larsson,3,16.61,49.83
172,39,87,The Midnight Library,Matt Haig,3,20.36,61.08
173,39,55,Meditations,Marcus Aurelius,1,11.9,11.9
174,39,61,A Brief History of Time,Stephen Hawking,2,14.36,28.72
175,39,35,And Then There Were None,Agatha Christie,2,17.6,35.2
176,39,3,The Catcher in the Rye,J.D. Salinger,2,17.65,35.3
177,40,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,2,12.97,25.94
178,40,80,Where the Crawdads Sing,Delia Owens,3,14.95,44.85
179,40,84,The Handmaid's Tale,Margaret Atwood,3,14.4,43.2
180,40,8,The Brothers Karamazov,Fyodor Dostoevsky,3,26.84,80.52
181,41,79,The Time Traveler's Wife,Audrey Niffenegger,2,19.35,38.7
182,41,32,The Girl with the Dragon Tattoo,Stieg Larsson,3,16.07,48.21
183,41,29,Outlander,Diana Gabaldon,1,20.5,20.5
184,41,91,Normal People,Sally Rooney,3,17.33,51.99
185,41,37,The Murder of Roger Ackroyd,Agatha Christie,2,15.8,31.6
186,41,85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,3,15.21,45.63
187,41,76,The Kite Runner,Khaled Hosseini,3,13.85,41.55
188,41,48,Dracula,Bram Stoker,2,11.38,22.76
189,42,36,The Silent Patient,Alex Michaelides,3,16.22,48.66
190,42,17,Neuromancer,William Gibson,1,13.23,13.23
191,42,24,The Name of the Wind,Patrick Rothfuss,1,15.17,15.17
192,42,79,The Time Traveler's Wife,Audrey Niffenegger,3,19.42,58.26
193,43,78,The Alchemist,Paulo Coelho,3,11.52,34.56
194,44,21,Harry Potter and the Philosopher's Stone,J.K. Rowling,2,14.46,28.92
195,44,78,The Alchemist,Paulo Coelho,3,14.12,42.36
196,44,7,Jane Eyre,Charlotte Brontë,1,12.93,12.93
197,44,61,A Brief History of Time,Stephen Hawking,2,13.62,27.24
198,44,55,Meditations,Marcus Aurelius,1,15.65,15.65
199,45,93,The Invisible Life of Addie LaRue,V.E. Schwab,3,26.05,78.15
200,45,83,Klara and the Sun,Kazuo Ishiguro,3,25.22,75.66
201,45,25,The Way of Kings,Brandon Sanderson,3,31.95,95.85
202,45,90,The Thursday Murder Club,Richard Osman,3,19.81,59.43
203,45,55,Meditations,Marcus Aurelius,1,12.06,12.06
204,46,33,Gone Girl,Gillian Flynn,2,18.59,37.18
205,47,32,The Girl with the Dragon Tattoo,Stieg Larsson,2,19.48,38.96
206,47,7,Jane Eyre,Charlotte Brontë,1,16.67,16.67
207,47,16,The Martian,Andy Weir,1,15.75,15.75
208,47,83,Klara and the Sun,Kazuo Ishiguro,2,27.34,54.68
209,47,29,Outlander,Diana Gabaldon,1,17.92,17.92
210,47,22,The Hobbit,J.R.R. Tolkien,3,14.54,43.62
211,47,73,Robinson Crusoe,Daniel Defoe,1,15.52,15.52
212,48,84,The Handmaid's Tale,Margaret Atwood,1,13.28,13.28
213,49,95,The Song of Achilles,Madeline Miller,2,18.93,37.86
214,49,49,Frankenstein,Mary Shelley,2,13.74,27.48
215,49,96,Big Little Lies,Liane Moriarty,2,15.9,31.8
216,49,64,Leaves of Grass,Walt Whitman,3,18.34,55.02
217,49,24,The Name of the Wind,Patrick Rothfuss,2,18.08,36.16
218,49,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,2,15.63,31.26
219,49,34,The Da Vinci Code,Dan Brown,1,18.46,18.46
220,49,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,2,11.65,23.3
221,50,12,Dune,Frank Herbert,2,17.75,35.5
222,51,28,Sense and Sensibility,Jane Austen,2,11.19,22.38
223,52,24,The Name of the Wind,Patrick Rothfuss,3,18.92,56.76
224,52,41,Becoming,Michelle Obama,3,22.93,68.79
225,52,8,The Brothers Karamazov,Fyodor Dostoevsky,2,22.01,44.02
226,53,90,The Thursday Murder Club,Richard Osman,2,19.21,38.42
227,53,30,The Notebook,Nicholas Sparks,3,14.65,43.95
228,53,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,3,16.9,50.7
229,54,99,Such a Fun Age,Kiley Reid,3,15.63,46.89
230,55,20,Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,2,16.73,33.46
231,55,11,1984,George Orwell,2,13.26,26.52
232,55,86,"Where Are You Going, Bernadette",Maria Semple,1,12.85,12.85
233,55,33,Gone Girl,Gillian Flynn,1,15.82,15.82
234,55,96,Big Little Lies,Liane Moriarty,2,14.95,29.9
235,56,89,Project Hail Mary,Andy Weir,3,23.29,69.87
236,56,2,To Kill a Mockingbird,Harper Lee,2,18.13,36.26
237,57,24,The Name of the Wind,Patrick Rothfuss,2,20.5,41.0
238,57,90,The Thursday Murder Club,Richard Osman,1,19.85,19.85
239,57,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,2,16.75,33.5
240,57,13,Foundation,Isaac Asimov,3,14.83,44.49
241,57,68,Don Quixote,Miguel de Cervantes,3,21.87,65.61
242,57,33,Gone Girl,Gillian Flynn,2,18.54,37.08
243,58,4,One Hundred Years of Solitude,Gabriel García Márquez,3,17.77,53.31
244,58,99,Such a Fun Age,Kiley Reid,1,15.54,15.54
245,58,100,Anxious People,Fredrik Backman,2,14.06,28.12
246,59,61,A Brief History of Time,Stephen Hawking,2,14.09,28.18
247,59,88,The Power,Naomi Alderman,2,15.51,31.02
248,59,75,Into the Wild,Jon Krakauer,2,14.7,29.4
249,59,54,The Perks of Being a Wallflower,Stephen Chbosky,3,13.31,39.93
250,59,30,The Notebook,Nicholas Sparks,1,14.14,14.14
251,59,12,Dune,Frank Herbert,3,14.91,44.73
252,60,70,War and Peace,Leo Tolstoy,1,20.51,20.51
253,60,79,The Time Traveler's Wife,Audrey Niffenegger,2,18.1,36.2
254,61,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,3,18.71,56.13
255,61,1,The Great Gatsby,F. Scott Fitzgerald,2,12.26,24.52
256,61,35,And Then There Were None,Agatha Christie,3,16.4,49.2
257,61,87,The Midnight Library,Matt Haig,3,20.8,62.4
258,61,11,1984,George Orwell,2,15.69,31.38
259,61,27,Pride and Prejudice,Jane Austen,2,11.51,23.02
260,61,56,The Republic,Plato,1,14.71,14.71
261,61,13,Foundation,Isaac Asimov,1,17.96,17.96
262,62,2,To Kill a Mockingbird,Harper Lee,1,20.9,20.9
263,62,50,It,Stephen King,3,22.38,67.14
264,63,54,The Perks of Being a Wallflower,Stephen Chbosky,2,12.87,25.74
265,63,16,The Martian,Andy Weir,1,17.34,17.34
266,63,42,Atomic Habits,James Clear,1,18.72,18.72
267,63,78,The Alchemist,Paulo Coelho,3,13.99,41.97
268,63,59,The Lean Startup,Eric Ries,3,20.22,60.66
269,64,53,Divergent,Veronica Roth,1,19.05,19.05
270,64,79,The Time Traveler's Wife,Audrey Niffenegger,2,18.42,36.84
271,65,16,The Martian,Andy Weir,1,14.85,14.85
272,65,71,Anna Karenina,Leo Tolstoy,2,19.36,38.72
273,65,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1,16.61,16.61
274,66,67,The Divine Comedy,Dante Alighieri,1,16.82,16.82
275,66,97,The Poppy War,R.F. Kuang,1,15.84,15.84
276,66,51,The Hunger Games,Suzanne Collins,2,17.81,35.62
277,66,65,The Complete Poems of Emily Dickinson,Emily Dickinson,2,17.33,34.66
278,67,31,Me Before You,Jojo Moyes,2,15.81,31.62
279,67,28,Sense and Sensibility,Jane Austen,1,10.59,10.59
280,67,6,The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,2,16.11,32.22
281,68,34,The Da Vinci Code,Dan Brown,2,14.82,29.64
282,68,20,Blade Runner (Do Androids Dream of Electric Sheep?),Philip K. Dick,2,13.2,26.4
283,68,68,Don Quixote,Miguel de Cervantes,3,25.61,76.83
284,68,43,The Book Thief,Markus Zusak,2,15.21,30.42
285,68,32,The Girl with the Dragon Tattoo,Stieg Larsson,3,14.41,43.23
286,68,92,The Guest List,Lucy Foley,2,15.15,30.3
287,68,51,The Hunger Games,Suzanne Collins,2,16.02,32.04
288,68,22,The Hobbit,J.R.R. Tolkien,3,16.44,49.32
289,69,16,The Martian,Andy Weir,1,14.01,14.01
290,70,45,The Pillars of the Earth,Ken Follett,2,16.75,33.5
291,71,45,The Pillars of the Earth,Ken Follett,3,23.31,69.93
292,71,98,The Vanishing Half,Brit Bennett,3,20.48,61.44
293,72,81,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,1,18.68,18.68
294,72,61,A Brief History of Time,Stephen Hawking,3,15.39,46.17
295,72,35,And Then There Were None,Agatha Christie,1,17.64,17.64
296,72,25,The Way of Kings,Brandon Sanderson,2,33.14,66.28
297,73,62,The Selfish Gene,Richard Dawkins,3,17.38,52.14
298,73,93,The Invisible Life of Addie LaRue,V.E. Schwab,1,22.06,22.06
299,73,31,Me Before You,Jojo Moyes,2,15.57,31.14
300,73,57,Man's Search for Meaning,Viktor E. Frankl,3,17.29,51.87
301,74,41,Becoming,Michelle Obama,2,17.69,35.38
302,74,69,Les Misérables,Victor Hugo,1,26.8,26.8
303,75,82,Circe,Madeline Miller,1,17.27,17.27
304,75,29,Outlander,Diana Gabaldon,3,16.15,48.45
305,75,38,Sapiens: A Brief History of Humankind,Yuval Noah Harari,3,17.76,53.28
306,75,7,Jane Eyre,Charlotte Brontë,3,14.86,44.58
307,75,59,The Lean Startup,Eric Ries,2,17.07,34.14
308,76,46,Cold Mountain,Charles Frazier,2,17.78,35.56
309,76,68,Don Quixote,Miguel de Cervantes,2,19.72,39.44
310,76,51,The Hunger Games,Suzanne Collins,3,15.37,46.11
311,76,17,Neuromancer,William Gibson,2,12.98,25.96
312,76,55,Meditations,Marcus Aurelius,1,14.72,14.72
313,77,73,Robinson Crusoe,Daniel Defoe,2,10.51,21.02
314,77,77,Life of Pi,Yann Martel,1,14.95,14.95
315,77,75,Into the Wild,Jon Krakauer,3,13.22,39.66
316,77,99,Such a Fun Age,Kiley Reid,2,19.13,38.26
317,77,5,Moby Dick,Herman Melville,2,14.75,29.5
318,78,23,A Game of Thrones,George R.R. Martin,3,19.55,58.65
319,78,89,Project Hail Mary,Andy Weir,1,27.59,27.59
320,78,42,Atomic Habits,James Clear,2,14.85,29.7
321,78,30,The Notebook,Nicholas Sparks,3,12.96,38.88
322,78,76,The Kite Runner,Khaled Hosseini,1,13.22,13.22
323,78,95,The Song of Achilles,Madeline Miller,2,17.11,34.22
324,78,58,Think and Grow Rich,Napoleon Hill,1,14.58,14.58
325,79,8,The Brothers Karamazov,Fyodor Dostoevsky,2,20.13,40.26
326,79,64,Leaves of Grass,Walt Whitman,3,20.27,60.81
327,79,31,Me Before You,Jojo Moyes,3,15.41,46.23
328,79,83,Klara and the Sun,Kazuo Ishiguro,1,20.58,20.58
329,80,33,Gone Girl,Gillian Flynn,3,13.62,40.86
330,80,71,Anna Karenina,Leo Tolstoy,2,20.13,40.26
331,80,44,All Quiet on the Western Front,Erich Maria Remarque,3,16.85,50.55
332,80,77,Life of Pi,Yann Martel,3,17.74,53.22
333,80,15,Fahrenheit 451,Ray Bradbury,2,11.5,23.0
334,80,16,The Martian,Andy Weir,1,16.01,16.01
335,81,8,The Brothers Karamazov,Fyodor Dostoevsky,1,20.22,20.22
336,81,77,Life of Pi,Yann Martel,3,13.1,39.3
337,81,52,The Fault in Our Stars,John Green,3,11.64,34.92
338,82,90,The Thursday Murder Club,Richard Osman,2,14.6,29.2
339,82,21,Harry Potter and the Philosopher's Stone,J.K. Rowling,3,14.01,42.03
340,83,94,The Invisible Bridge,Julie Orringer,1,15.92,15.92
341,83,42,Atomic Habits,James Clear,3,18.97,56.91
342,83,66,The Sun and Her Flowers,Rupi Kaur,1,12.61,12.61
343,83,76,The Kite Runner,Khaled Hosseini,3,17.47,52.41
344,83,44,All Quiet on the Western Front,Erich Maria Remarque,3,13.76,41.28
345,83,40,The Immortal Life of Henrietta Lacks,Rebecca Skloot,1,14.26,14.26
346,83,5,Moby Dick,Herman Melville,2,16.64,33.28
347,83,28,Sense and Sensibility,Jane Austen,3,13.94,41.82
348,84,79,The Time Traveler's Wife,Audrey Niffenegger,2,16.22,32.44
349,84,90,The Thursday Murder Club,Richard Osman,2,17.83,35.66
350,84,67,The Divine Comedy,Dante Alighieri,2,18.75,37.5
351,84,29,Outlander,Diana Gabaldon,3,23.34,70.02
352,84,78,The Alchemist,Paulo Coelho,3,16.02,48.06
353,84,19,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1,15.42,15.42
354,85,7,Jane Eyre,Charlotte Brontë,2,16.33,32.66
355,85,54,The Perks of Being a Wallflower,Stephen Chbosky,2,12.47,24.94
356,85,44,All Quiet on the Western Front,Erich Maria Remarque,1,15.06,15.06
357,85,64,Leaves of Grass,Walt Whitman,3,17.9,53.7
358,85,60,Good to Great,Jim Collins,2,19.52,39.04
359,85,26,"The Lion, the Witch and the Wardrobe",C.S. Lewis,3,10.42,31.26
360,85,94,The Invisible Bridge,Julie Orringer,2,17.35,34.7
361,86,53,Divergent,Veronica Roth,3,16.69,50.07
362,86,85,The Seven Moons of Maali Almeida,Shehan Karunatilaka,3,17.02,51.06
363,87,69,Les Misérables,Victor Hugo,2,27.78,55.56
364,87,12,Dune,Frank Herbert,1,18.81,18.81
365,87,48,Dracula,Bram Stoker,3,16.27,48.81
366,87,9,Wuthering Heights,Emily Brontë,1,14.23,14.23
367,88,51,The Hunger Games,Suzanne Collins,1,13.5,13.5
368,88,4,One Hundred Years of Solitude,Gabriel García Márquez,1,17.31,17.31
369,88,94,The Invisible Bridge,Julie Orringer,1,21.34,21.34
370,88,87,The Midnight Library,Matt Haig,2,21.65,43.3
371,88,88,The Power,Naomi Alderman,1,15.28,15.28
372,89,96,Big Little Lies,Liane Moriarty,1,18.62,18.62
373,89,29,Outlander,Diana Gabaldon,3,17.34,52.02
374,89,30,The Notebook,Nicholas Sparks,2,16.31,32.62
375,89,10,The Odyssey,Homer,3,14.04,42.12
376,90,84,The Handmaid's Tale,Margaret Atwood,1,18.12,18.12
377,90,91,Normal People,Sally Rooney,3,18.81,56.43
378,90,55,Meditations,Marcus Aurelius,1,14.45,14.45
379,90,13,Foundation,Isaac Asimov,3,17.29,51.87
380,90,43,The Book Thief,Markus Zusak,1,20.18,20.18
381,91,78,The Alchemist,Paulo Coelho,2,16.23,32.46
382,91,53,Divergent,Veronica Roth,2,16.12,32.24
383,91,73,Robinson Crusoe,Daniel Defoe,3,12.01,36.03
384,92,96,Big Little Lies,Liane Moriarty,3,16.38,49.14
385,92,52,The Fault in Our Stars,John Green,3,15.68,47.04
386,92,18,Ender's Game,Orson Scott Card,1,12.21,12.21
387,92,41,Becoming,Michelle Obama,2,19.0,38.0
388,93,4,One Hundred Years of Solitude,Gabriel García Márquez,3,17.23,51.69
389,93,50,It,Stephen King,3,24.5,73.5
390,93,99,Such a Fun Age,Kiley Reid,3,19.87,59.61
391,94,35,And Then There Were None,Agatha Christie,3,14.78,44.34
392,94,58,Think and Grow Rich,Napoleon Hill,1,19.03,19.03
393,94,71,Anna Karenina,Leo Tolstoy,3,23.94,71.82
394,94,33,Gone Girl,Gillian Flynn,1,17.57,17.57
395,94,3,The Catcher in the Rye,J.D. Salinger,2,20.38,40.76
396,95,78,The Alchemist,Paulo Coelho,2,13.66,27.32
397,96,46,Cold Mountain,Charles Frazier,2,14.96,29.92
398,97,35,And Then There Were None,Agatha Christie,1,14.58,14.58
399,97,51,The Hunger Games,Suzanne Collins,3,12.72,38.16
400,97,89,Project Hail Mary,Andy Weir,1,19.21,19.21
401,98,95,The Song of Achilles,Madeline Miller,2,18.8,37.6
402,98,32,The Girl with the Dragon Tattoo,Stieg Larsson,2,17.96,35.92
403,98,42,Atomic Habits,James Clear,1,15.75,15.75
404,98,69,Les Misérables,Victor Hugo,2,20.62,41.24
